density	noise_sigma	noise_seed	method	junction	incoming_row	outgoing_col	global_entry	truth	estimate	abs_error
dense	0.01	3	esmda	3	2	2	38	0.22	0.1638458922	0.05615410779
dense	0.01	3	esmda	3	2	3	39	0.18	0.2532995672	0.07329956723
dense	0.01	3	esmda	3	2	4	40	0.5	0.1704821875	0.3295178125
dense	0.01	3	esmda	3	3	1	41	0.44	0.3140802548	0.1259197452
dense	0.01	3	esmda	3	3	2	42	0.18	0.3272630059	0.1472630059
dense	0.01	3	esmda	3	3	3	43	0.1	0.07592768492	0.02407231508
dense	0.01	3	esmda	3	3	4	44	0.28	0.2827290544	0.002729054406
dense	0.01	3	esmda	3	4	1	45	0.22	0.1778287965	0.04217120354
dense	0.01	3	esmda	3	4	2	46	0.4	0.2310253906	0.1689746094
dense	0.01	3	esmda	3	4	3	47	0.26	0.1811111549	0.07888884505
dense	0.01	3	esmda	3	4	4	48	0.12	0.410034658	0.290034658
dense	0.01	3	esmda	4	1	1	49	0.12	0.05430805893	0.06569194107
dense	0.01	3	esmda	4	1	2	50	0.16	0.2915533595	0.1315533595
dense	0.01	3	esmda	4	1	3	51	0.54	0.3251509361	0.2148490639
dense	0.01	3	esmda	4	1	4	52	0.18	0.3289876455	0.1489876455
dense	0.01	3	esmda	4	2	1	53	0.16	0.186502885	0.02650288501
dense	0.01	3	esmda	4	2	2	54	0.1	0.1977613912	0.09776139122
dense	0.01	3	esmda	4	2	3	55	0.2	0.1935018591	0.006498140939
dense	0.01	3	esmda	4	2	4	56	0.54	0.4222338647	0.1177661353
dense	0.01	3	esmda	4	3	1	57	0.46	0.4895893313	0.02958933128
dense	0.01	3	esmda	4	3	2	58	0.24	0.1640107446	0.07598925536
dense	0.01	3	esmda	4	3	3	59	0.1	0.1707692364	0.07076923637
dense	0.01	3	esmda	4	3	4	60	0.2	0.1756306877	0.02436931229
dense	0.01	3	esmda	4	4	1	61	0.2	0.2022577037	0.002257703736
dense	0.01	3	esmda	4	4	2	62	0.48	0.3307121381	0.1492878619
dense	0.01	3	esmda	4	4	3	63	0.22	0.3415523387	0.1215523387
dense	0.01	3	esmda	4	4	4	64	0.1	0.1254778195	0.02547781947
dense	0.01	3	map_lbfgs	1	1	1	1	0.1	0.2065575651	0.1065575651
dense	0.01	3	map_lbfgs	1	1	2	2	0.12	0.1444975165	0.02449751648
dense	0.01	3	map_lbfgs	1	1	3	3	0.5	0.2868253412	0.2131746588
dense	0.01	3	map_lbfgs	1	1	4	4	0.28	0.3621195772	0.08211957718
dense	0.01	3	map_lbfgs	1	2	1	5	0.08	0.1540373082	0.07403730823
dense	0.01	3	map_lbfgs	1	2	2	6	0.18	0.1319005512	0.0480994488
dense	0.01	3	map_lbfgs	1	2	3	7	0.22	0.4554090827	0.2354090827
dense	0.01	3	map_lbfgs	1	2	4	8	0.52	0.2586530578	0.2613469422
