density	noise_sigma	noise_seed	method	scenario_count	observation_count	observation_multiplier	floor_fraction	mean_clip_fraction	max_clip_fraction	turning_rmse	turning_mae	turning_max_abs_error	turning_rmse_j1	turning_rmse_j2	turning_rmse_j3	turning_rmse_j4	predictive_rmse	fit_rmse	normalized_fit_rmse	weighted_loss	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	requested_budget	solve_seconds	iterations	ensemble_size	esmda_maxiters	adam_time_limit_seconds	adam_best_loss	adam_final_loss	adam_best_iter	adam_final_raw_grad_norm	adam_loss_tail_relspan	adam_grad_tail_relspan	turning_interval_width_mean	turning_interval_width_max	turning_interval_coverage
sparse	0.08	3	map_lbfgs	12	864	3	0.15	0	0	0.1470583749	0.1199242362	0.3298121456	0.1463932133	0.1639710631	0.121860961	0.1527648072	0.001381368544	0.05772055452	1.26819404	694.7925656	0.02502656055	0.02093237245	0.02714245434	300	33.88900018	16	0	0	NaN	694.8456069	694.8456069	16	NaN	0.001162373564	NaN	NaN	NaN	NaN
sparse	0.2	1	esmda	12	864	3	0.15	0.0474537037	0.08333333333	0.216629937	0.1664937741	0.6277561599	0.2306914892	0.1744371934	0.1404883856	0.2903966845	0.03476862862	0.1506300536	2.389233572	2466.044812	0.08945806386	0.1070126083	0.07702947904	1152	153.1130816	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5562632612	0.8420276055	0.859375
sparse	0.2	1	map_lbfgs	12	864	3	0.15	0.0474537037	0.08333333333	0.2279580671	0.1701878045	0.7028972501	0.1882560002	0.1633965244	0.1218605761	0.3617606606	0.03512036248	0.1507012999	2.389846344	2467.309917	0.08392132098	0.1025556685	0.07043271627	300	49.02399993	20	0	0	NaN	2481.045969	2481.045969	20	NaN	0.0498753246	NaN	NaN	NaN	NaN
sparse	0.2	2	esmda	12	864	3	0.15	0.05324074074	0.1111111111	0.1849878294	0.1490666312	0.4181217396	0.2044176613	0.2017320208	0.1358938112	0.1895586235	0.01734030707	0.1435787511	2.749235171	3265.18302	0.05967785563	0.06967041815	0.05276343045	1152	146.2788412	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5985301599	0.8518391629	0.921875
sparse	0.2	2	map_lbfgs	12	864	3	0.15	0.05324074074	0.1111111111	0.16680988	0.1312948272	0.4070392159	0.1731479458	0.1634624007	0.1218605761	0.1993789777	0.01916306019	0.1437848169	2.748813677	3264.181906	0.05059955298	0.0620241403	0.0421155181	300	300.441	106	0	0	NaN	3267.114004	3267.114004	106	NaN	1.279149779e-13	NaN	NaN	NaN	NaN
sparse	0.2	3	esmda	12	864	3	0.15	0.05208333333	0.08333333333	0.162708494	0.133659145	0.4241086245	0.1694264983	0.1845682804	0.1270640942	0.1642563351	0.01739966107	0.1409803733	2.440593481	2573.206506	0.05665471267	0.06789145061	0.04865044498	1152	146.2969205	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6121592172	0.8366379942	0.921875
sparse	0.2	3	map_lbfgs	12	864	3	0.15	0.05208333333	0.08333333333	0.1609086156	0.1269641569	0.371755459	0.1595790527	0.1633968787	0.1218605761	0.1911866006	0.01833698047	0.1411261053	2.441799791	2575.750848	0.0556310973	0.06549392584	0.04849436387	300	50.81299996	19	0	0	NaN	2577.415792	2577.415792	19	NaN	0.007545033895	NaN	NaN	NaN	NaN
sparse	0.4	1	esmda	12	864	3	0.15	0.2060185185	0.25	0.1984888029	0.1508630487	0.4820223939	0.237849842	0.1764856706	0.1308405736	0.2296785243	0.03289692281	0.2572973379	2.729553316	3218.599283	0.08273076215	0.09726753302	0.07260690284	1152	161.9399319	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5819631671	0.8504755904	0.921875
sparse	0.4	1	map_lbfgs	12	864	3	0.15	0.2060185185	0.25	0.2088889234	0.158396923	0.5770876416	0.1917208304	0.1633959564	0.1218605761	0.3102147868	0.03385467476	0.2574300195	2.729214971	3217.801402	0.08024405113	0.09871591895	0.06675469274	300	45.16799998	19	0	0	NaN	3228.432015	3228.432015	19	NaN	0.02142139705	NaN	NaN	NaN	NaN
sparse	0.4	2	esmda	12	864	3	0.15	0.2233796296	0.2916666667	0.1835705864	0.146844184	0.4496189601	0.2193542558	0.1981145587	0.1290815609	0.1753993258	0.02648839703	0.2406804649	2.625051327	2976.86641	0.06938354003	0.08285389076	0.05985204207	1152	155.9076246	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.601251056	0.8551302105	0.921875
sparse	0.4	2	map_lbfgs	12	864	3	0.15	0.2233796296	0.2916666667	0.1920891422	0.1433660805	0.5043607426	0.2491402974	0.1634195688	0.1218605761	0.2096809743	0.02856280394	0.2410548302	2.624590099	2975.820417	0.07764172933	0.08515323439	0.0726782061	300	59.58699989	24	0	0	NaN	2981.018014	2981.018014	24	NaN	0.0163226521	NaN	NaN	NaN	NaN
sparse	0.4	3	esmda	12	864	3	0.15	0.21875	0.2777777778	0.1955721678	0.1500566882	0.4691211222	0.2339147834	0.1861958624	0.1301884073	0.2160088998	0.03212557432	0.2427519969	2.606794489	2935.603083	0.07998007932	0.09496810583	0.06943786326	1152	151.7221711	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5862037335	0.8574195565	0.90625
sparse	0.4	3	map_lbfgs	12	864	3	0.15	0.21875	0.2777777778	0.1991834852	0.1518935635	0.5279897513	0.1912683132	0.1633970153	0.1218605761	0.283838142	0.0331381204	0.2429416409	2.60683594	2935.696444	0.07777646872	0.09566208084	0.0646863886	300	46.23799992	19	0	0	NaN	2945.522925	2945.522925	19	NaN	0.01889911531	NaN	NaN	NaN	NaN
minimal	0.01	1	esmda	12	192	0.6666666667	0.15	0	0	0.1484918121	0.1224304134	0.3724992503	0.1488824526	0.1648339148	0.1302811079	0.1479523634	0.001922494397	0.007911833141	1.012539137	98.4226084	0.04150504174	0.0642677132	0.03937649154	1152	132.3474235	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5988150087	0.815638353	0.9375
