object_key,road_id,veglenkesekvensid,veglenkenummer,segmentnummer,startnode,sluttnode,typeVeg,street_name,kortform,lenkeretning,length_m,feltoversikt,lane_mode,source_files
3822513-1-2:3822500>2739889,r261,3822513,1,2,3822500,2739889,Enkel bilveg,,PV99200 S1D1 m0-111,MED,110.796,1#2,bidirectional,E18_2.json E18_3.json
405945-2-3:3067941>3067942,r247,405945,2,3,3067941,3067942,Enkel bilveg,Magnus Poulssons vei,KV2371 S1D1 m38-75,MED,37.035,1#2,bidirectional,E18_2.json
417781-3-5:456926>3822500,r263,417781,3,5,456926,3822500,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m179-190,MED,10.946,1#2,bidirectional,E18_2.json E18_3.json
417781-7-5:3822500>2648065,r263,417781,7,5,3822500,2648065,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m190-208,MED,18.075,1#2,bidirectional,E18_2.json E18_3.json
446147-17-12:457297>3078048,r081,446147,17,12,CN176,CN116,Kanalisert veg,Drammensveien,EV18 S54D1 m0-142,MOT,142.629,2#4,against_link,E18_2.json E18_3.json
443318-5-14:3073784>3073785,r258,443318,5,14,3073784,3073785,Rampe,Drammensveien,EV18 S54D1 m204 KD5 m6-218,MOT,212.0,1,with_link,E18_2.json
405945-1-3:457669>3067941,r247,405945,1,3,457669,3067941,Enkel bilveg,Magnus Poulssons vei,KV2371 S1D1 m0-38,MED,38.017,1#2,bidirectional,E18_2.json
443319-13-15:3401837>457267,r082,443319,13,15,CN116,457267,Rampe,Drammensveien,EV18 S54D1 m204 KD1 m28-118,MOT,90.209,1,with_link,E18_2.json E18_3.json
444478-1-12:457585>3077175,r268,444478,1,12,CN09,3077175,Rampe,Drammensveien,EV18 S54D1 m204 KD2 m0-3,MOT,1.425,1,with_link,E18_2.json
405162-3-3:3605661>457669,r073,405162,3,3,3605661,457669,Enkel bilveg,Fornebuveien,KV1092 S1D1 m276-319,MED,43.206,1#2,bidirectional,E18_2.json
444478-2-12:3077175>457596,r268,444478,2,12,3077175,CN10,Rampe,Drammensveien,EV18 S54D1 m204 KD2 m3-11,MOT,4.26,1,with_link,E18_2.json
444259-6-10:3076396>457554,r074,444259,6,10,3076396,CN177,Enkel bilveg,Drammensveien,RV150 S3D1 m1080-1155,MED,74.446,1#3,with_link,E18_2.json
443314-10-12:457596>3073771,r076,443314,10,12,CN10,3073771,Rampe,Drammensveien,EV18 S54D1 m204 KD2 m11-82,MOT,71.578,1,with_link,E18_2.json
443314-5-12:3073770>457557,r076,443314,5,12,3073770,CN177,Rampe,Drammensveien,EV18 S54D1 m204 KD3 m384-518,MOT,134.049,1,with_link,E18_2.json
444470-17-12:3077113>457078,r085,444470,17,12,3077113,CN140,Kanalisert veg,Drammensveien,EV18 S54D1 m0-142,MOT,142.535,1#3#5,with_link,E18_2.json E18_3.json
443316-3-11:457605>3073775,r276,443316,3,11,CN09,3073775,Rampe,Drammensveien,EV18 S54D1 m204 KD7 m15-121,MOT,105.778,1,with_link,E18_2.json
417781-4-5:2648065>2648066,r263,417781,4,5,2648065,2648066,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m208-281,MED,72.836,1#2,bidirectional,E18_2.json E18_3.json
444259-9-15:457579>0.82292854@444259,r074,444259,9,15,CN09,0.82292854@444259,Enkel bilveg,Drammensveien,RV150 S3D1 m1177-1208,MED,30.601,1,with_link,E18_2.json
1220541-1-3:1220544>2739889,r277,1220541,1,3,1220544,2739889,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m142-179,MED,36.857,1#2,bidirectional,E18_2.json E18_3.json
405375-1-3:457944>457839,r232,405375,1,3,457944,457839,Enkel bilveg,Skogsvingen,KV1257 S1D1 m0-84,MED,83.936,1#2,bidirectional,E18_2.json
417530-1-3:457839>1406392,r278,417530,1,3,457839,1406392,Enkel bilveg,Skogsvingen,PV1257 S1D1 m0-69,MED,69.338,1#2,bidirectional,E18_2.json
2648023-2-5:3580670>3643413,r279,2648023,2,5,3580670,3643413,Enkel bilveg,Professor Kohts vei,PV1770 S6D1 m0-24,MED,23.936,1#2,bidirectional,E18_2.json E18_3.json
2647998-2-4:2735691>2648107,r280,2647998,2,4,2735691,2648107,Enkel bilveg,Gamle Drammensvei,PV1101 S17D1 m11-90,MED,78.55,1#2,bidirectional,E18_2.json E18_3.json
2647305-1-3:2647274>2647286,r281,2647305,1,3,CN72,2647286,Enkel bilveg,Fridtjof Nansens vei,PV92480 S1D1 m0-94,MED,94.425,1#2,bidirectional,E18_2.json
443318-1-10:457267>3073784,r258,443318,1,10,457267,3073784,Rampe,Drammensveien,EV18 S54D1 m204 KD5 m0-6,MOT,6.0,,unknown,E18_2.json
443319-6-13:457267>3073788,r082,443319,6,13,457267,3073788,Rampe,Drammensveien,EV18 S54D1 m204 KD1 m118-182,MOT,63.834,1,with_link,E18_2.json
1220540-1-3:1663687>1220544,r282,1220540,1,3,1663687,1220544,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m0-142,MED,142.196,1#2,bidirectional,E18_2.json E18_3.json
443807-5-12:3075017>3075018,r235,443807,5,12,3075017,3075018,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1066-1074,MED,8.013,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
444259-9-16:0.82292854@444259>3076397,r074,444259,9,16,0.82292854@444259,3076397,Enkel bilveg,Drammensveien,RV150 S3D1 m1208-1231,MED,23.67,1,with_link,E18_2.json
443807-25-12:2648128>3075017,r235,443807,25,12,2648128,3075017,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1046-1066,MED,20.003,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
405168-7-3:2647273>457944,r078,405168,7,3,2647273,457944,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m289-377,MED,88.471,1#2,bidirectional,E18_2.json
405162-12-3:3605663>3605661,r073,405162,12,3,3605663,3605661,Enkel bilveg,Fornebuveien,KV1092 S1D1 m269-276,MED,7.329,1#2,bidirectional,E18_2.json
417265-3-3:3605659>3605661,r077,417265,3,3,3605659,3605661,Enkel bilveg,Fornebuveien,PV1092 S1D1 m280-285,MED,4.665,1#2,bidirectional,E18_2.json
2735732-1-3:1240849>2735709,r283,2735732,1,3,1240849,2735709,Enkel bilveg,Ekeliveien,PV1074 S1D1 m0-27,MED,27.34,1#2,bidirectional,E18_2.json E18_3.json
2648023-3-5:3643413>2648128,r279,2648023,3,5,3643413,2648128,Enkel bilveg,Professor Kohts vei,PV1770 S6D1 m24-29,MED,5.414,1#2,bidirectional,E18_2.json E18_3.json
417265-2-3:457670>3605659,r077,417265,2,3,457670,3605659,Enkel bilveg,Fornebuveien,PV1092 S1D1 m221-280,MED,58.963,1#2,bidirectional,E18_2.json
446147-137-12:3078148>457297,r081,446147,137,12,3078148,CN176,Kanalisert veg,Drammensveien,EV18 S54D1 m142-298,MOT,155.097,2#4,against_link,E18_2.json
405162-2-3:457695>3605663,r073,405162,2,3,457695,3605663,Enkel bilveg,Fornebuveien,KV1092 S1D1 m262-269,MED,7.103,1#2,bidirectional,E18_2.json
443317-4-13:457314>3073779,r080,443317,4,13,CN176,3073779,Rampe,Drammensveien,EV18 S54D1 m204 KD6 m12-152,MOT,140.349,1,with_link,E18_2.json
443807-24-12:2648125>2648128,r235,443807,24,12,2648125,2648128,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m991-1046,MED,54.867,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
443319-9-15:3073788>3073794,r082,443319,9,15,3073788,3073794,Rampe,Drammensveien,EV18 S54D1 m204 KD1 m182-292,MOT,110.518,1,with_link,E18_2.json
444470-16-12:3077112>3077113,r085,444470,16,12,3077112,3077113,Kanalisert veg,Drammensveien,EV18 S54D1 m142-298,MOT,157.489,1#3#5,with_link,E18_2.json
444259-5-10:3076395>3076396,r074,444259,5,10,3076395,3076396,Enkel bilveg,Drammensveien,RV150 S3D1 m1038-1080,MED,42.557,1#3,with_link,E18_2.json
417781-6-2:2648066>456848,r263,417781,6,2,2648066,456848,Enkel bilveg,Philip Pedersens vei,PV1569 S1D1 m281-297,MED,16.04,1#2,bidirectional,E18_2.json E18_3.json
