row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_target_cols	rank_within_swap	variant_label	y_true	y_obs	y_post	y_swap	sigma_true	sigma_model	flux_shape_obs	true_standardized_residual	post_standardized_residual	swap_standardized_residual	post_loss_contribution	swap_loss_contribution	contribution_improvement	abs_contribution_improvement	swap_improves_observation	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
J1 row 2	1	2	2	true	0.4566148836	2,3	25	hard_floor_0p03	0.4090924892	0.5650104528	0.4052980385	0.3557313991	0.07735546383	0.07864756513	0.9830945641	-1.982489392	-2.03073565	-2.66097308	2.06194364	3.540388866	-1.478445226	1.478445226	false	125	1	balanced_reference	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	1	hard_floor_0p03	0.2425337545	0.009939361138	0.06814460595	0.04386558379	0.05878756237	0.003148982476	0.03936228095	73.86334954	18.4838262	10.77370957	170.8259156	58.036409	112.7895066	112.7895066	true	2225	8	alternating_inlets	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 3	1	3	18	false	0.1866046451	2,3	2	hard_floor_0p03	0.4843874278	0.6217400646	0.4756213719	0.3782127955	0.07992199923	0.07525739414	0.9407174267	-1.825104874	-1.941585865	-3.235924813	1.884877835	5.235604696	-3.350726861	3.350726861	false	1565	6	west_heavy	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	3	hard_floor_0p03	0.4090924892	0.5650104528	0.4052980385	0.3133111111	0.07735546383	0.07864756513	0.9830945641	-1.982489392	-2.03073565	-3.200344998	2.06194364	5.121104052	-3.059160412	3.059160412	false	125	1	balanced_reference	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	4	hard_floor_0p03	0.4149987458	0.5438241517	0.2369649133	0.1819816346	0.07768793177	0.07938542199	0.9923177749	-1.622784168	-3.865435627	-4.55804741	7.470796293	10.3878981	-2.917101804	2.917101804	false	1662	6	west_heavy	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	5	hard_floor_0p03	0.2752311462	0.159065591	0.2757707233	0.2161555072	0.06383326796	0.04280439321	0.5350549151	2.713869921	2.726475566	1.333739645	3.716834507	0.8894307198	2.827403787	2.827403787	true	2141	8	alternating_inlets	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	6	hard_floor_0p03	0.619782972	0.618911463	0.4205172883	0.3600621103	0.07540865268	0.07547522047	0.9434402559	0.01154695536	-2.628600134	-3.42959386	3.454769333	5.881057022	-2.426287689	2.426287689	false	493	2	heavy_from_start	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 3	1	3	18	false	0.1866046451	2,3	7	hard_floor_0p03	0.5812735946	0.4305611755	0.2239007803	0.1638008186	0.0778862729	0.07845703989	0.9807129986	1.920954695	-2.634058021	-3.400081844	3.469130829	5.780278273	-2.311147444	2.311147444	false	497	2	heavy_from_start	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 3	1	3	18	false	0.1866046451	2,3	8	hard_floor_0p03	0.3950428168	0.4430495261	0.207582803	0.1529493681	0.0764748767	0.07896212593	0.9870265741	-0.6079713376	-2.982021069	-3.673915242	4.446224828	6.748826603	-2.302601775	2.302601775	false	1086	4	north_heavy	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	9	hard_floor_0p03	0.4238434764	0.5206248733	0.4126975731	0.3190180711	0.07814405885	0.07986387667	0.9982984584	-1.211829439	-1.3513907	-2.524380366	0.9131284117	3.186248116	-2.273119704	2.273119704	false	989	4	north_heavy	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	10	hard_floor_0p03	0.5047746712	0.4476481602	0.111001079	0.07164602631	0.0799927048	0.07912297116	0.9890371395	0.7219965336	-4.254732555	-4.752123542	9.051374558	11.29133908	-2.23996452	2.23996452	false	501	2	heavy_from_start	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 3	1	3	18	false	0.1866046451	2,3	11	hard_floor_0p03	0.3830226483	0.4082288383	0.1900956666	0.1385346022	0.07562121574	0.07730497724	0.9663122156	-0.3260616713	-2.821722217	-3.488704683	3.981058134	6.085530183	-2.104472049	2.104472049	false	222	1	balanced_reference	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	12	hard_floor_0p03	0.1065176995	0.03424543512	0.09064130976	0.08640477461	0.03045493734	0.01058325929	0.1322907412	6.828923146	5.328781339	4.928476004	14.19795528	12.14493786	2.053017415	2.053017415	true	778	3	quiet_start_then_build	202	17	internal	2	5	0.375	3	0.0125	0.75
J1 row 3	1	3	18	false	0.1866046451	2,3	13	hard_floor_0p03	0.3386647541	0.3776252088	0.1596045497	0.1125589803	0.0716707003	0.07520781135	0.9400976419	-0.518037342	-2.89890977	-3.524450769	4.201838926	6.210876611	-2.009037685	2.009037685	false	3093	11	upstream_loaded	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 3	1	3	18	false	0.1866046451	2,3	14	hard_floor_0p03	0.1574115909	0.08592770169	0.1564943357	0.136452933	0.04244261822	0.02513412217	0.3141765271	2.844097308	2.80760289	2.010224625	3.941316993	2.020501521	1.920815472	1.920815472	true	1833	7	east_heavy_late	105	4	outgoing	1	2	0.08333333333	3	0.0125	0.75
J1 row 3	1	3	18	false	0.1866046451	2,3	15	hard_floor_0p03	0.4605558499	0.5568553385	0.451172091	0.3709421103	0.07950213089	0.07896559056	0.987069882	-1.219512042	-1.338345559	-2.354357472	0.8955844178	2.771499554	-1.875915136	1.875915136	false	985	4	north_heavy	121	4	outgoing	1	2	0.08333333333	7	0.02916666667	1.75
J1 row 3	1	3	18	false	0.1866046451	2,3	16	hard_floor_0p03	0.4383793127	0.4611148024	0.1521061453	0.1164727217	0.07878492509	0.07951614125	0.9939517656	-0.2859229497	-3.886112331	-4.334240511	7.550934526	9.392820402	-1.841885876	1.841885876	false	1645	6	west_heavy	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 3	1	3	18	false	0.1866046451	2,3	17	hard_floor_0p03	0.4916472426	0.6144761766	0.4848121071	0.4248828221	0.07997767406	0.0758064656	0.94758082	-1.620296276	-1.710461878	-2.501018257	1.462839918	3.127546161	-1.664706243	1.664706243	false	981	4	north_heavy	117	4	outgoing	1	2	0.08333333333	6	0.025	1.5
J1 row 3	1	3	18	false	0.1866046451	2,3	18	hard_floor_0p03	0.5670807206	0.4418201073	0.5811737994	0.6419791338	0.07856005662	0.07891683203	0.9864604003	1.587248374	1.765829779	2.536328707	1.559077405	3.216481655	-1.65740425	1.65740425	false	1760	7	east_heavy_late	32	2	incoming	4	17	0.9166666667	8	0.03333333333	2
J1 row 3	1	3	18	false	0.1866046451	2,3	19	hard_floor_0p03	0.5032134757	0.474895644	0.340098576	0.2779469071	0.07999669554	0.07979832682	0.9974790852	0.3548674873	-1.689221734	-2.468081033	1.426735033	3.045711992	-1.618976958	1.618976958	false	3089	11	upstream_loaded	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 3	1	3	18	false	0.1866046451	2,3	20	hard_floor_0p03	0.406930258	0.3863084423	0.07300603591	0.0450990537	0.0772281674	0.0758637535	0.9482969188	0.2718269891	-4.129803653	-4.49766025	8.527639106	10.11447386	-1.586834757	1.586834757	false	505	2	heavy_from_start	217	17	internal	1	2	0.125	7	0.02916666667	1.75
J1 row 3	1	3	18	false	0.1866046451	2,3	21	hard_floor_0p03	0.4144014745	0.3585077822	0.1460470533	0.1088649889	0.07765532558	0.07359358474	0.9199198092	0.7594913665	-2.886946324	-3.392181454	4.16722954	5.75344751	-1.58621797	1.58621797	false	205	1	balanced_reference	205	17	internal	1	2	0.125	4	0.01666666667	1
