global_entry	entry_label	junction	junction_label	incoming_row	outgoing_col	source_road	target_road	incoming_road	outgoing_road	source_role	target_role	incoming_role	outgoing_role	source_observed	target_observed	incoming_observed	outgoing_observed	direct_observed_count	direct_observation_class	target_observation_distance	downstream_observation_class	truth	posterior_mean	posterior_median	posterior_q1	posterior_q3	ci05	ci95	ci_width	covered_by_ci90	signed_error	abs_error	normalized_ci_gap	large_error	source_mean_density	source_density_span	source_density_std	target_mean_density	target_density_span	target_density_std	raw_sensitivity	normalized_sensitivity	max_abs_normalized_sensitivity
11	J1 P33	1	J1 (top-left)	3	3	18	17	18	17	internal	internal	internal	internal	false	true	false	true	1	target observed	0	target observed	0.08	0.1812399079	0.1817473715	0.1340472275	0.2232561457	0.07740131427	0.2974712411	0.2200699268	true	0.1012399079	0.1012399079	0	false	0.3172558361	0.6814292926	0.1541306353	0.3022673095	0.6671447152	0.1513611044	0.07210819959	2.489514552	128.0004499
12	J1 P34	1	J1 (top-left)	3	4	18	19	18	19	internal	internal	internal	internal	false	false	false	false	0	neither directly observed	2	observed after 2 turns	0.26	0.2322584255	0.2161933776	0.1563979197	0.2958668808	0.0979494835	0.4305376682	0.3325881847	true	-0.0277415745	0.0277415745	0	false	0.3172558361	0.6814292926	0.1541306353	0.3189424537	0.6984851818	0.1548419768	0.07590851058	2.145023776	104.2071175
13	J1 P41	1	J1 (top-left)	4	1	20	3	20	3	internal	outgoing	internal	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.2	0.4251115855	0.4179959669	0.2905703232	0.5738843407	0.09614195079	0.7742390606	0.6780971098	true	0.2251115855	0.2251115855	0	false	0.3288743962	0.6920939064	0.1600741547	0.2799844599	0.7394210307	0.1468964243	0.01743311433	0.3741779532	14.66048554
14	J1 P42	1	J1 (top-left)	4	2	20	4	20	4	internal	outgoing	internal	outgoing	false	true	false	true	1	target observed	0	target observed	0.46	0.1495513111	0.1177530219	0.05652463664	0.2024109638	0.01836576017	0.4052066136	0.3868408534	false	-0.3104486889	0.3104486889	0.141643226	true	0.3288743962	0.6920939064	0.1600741547	0.2935397334	0.7397657678	0.1476314651	0.03646470556	0.690541618	21.71923774
15	J1 P43	1	J1 (top-left)	4	3	20	17	20	17	internal	internal	internal	internal	false	true	false	true	1	target observed	0	target observed	0.24	0.0826995303	0.06450020255	0.03210334742	0.1101962843	0.0109417422	0.2199018838	0.2089601416	false	-0.1573004697	0.1573004697	0.09618157824	false	0.3288743962	0.6920939064	0.1600741547	0.3022673095	0.6671447152	0.1513611044	0.05123496762	1.735650322	88.62670103
16	J1 P44	1	J1 (top-left)	4	4	20	19	20	19	internal	internal	internal	internal	false	false	false	false	0	neither directly observed	2	observed after 2 turns	0.1	0.342637573	0.3509927994	0.2359865546	0.4341462647	0.1173255308	0.596928117	0.4796025862	false	0.242637573	0.242637573	0.0361247652	false	0.3288743962	0.6920939064	0.1600741547	0.3189424537	0.6984851818	0.1548419768	0.06634840402	1.917484331	93.60868328
17	J2 P11	2	J2 (top-right)	1	1	5	7	5	7	incoming	outgoing	incoming	outgoing	false	true	false	true	1	target observed	0	target observed	0.18	0.3699514647	0.362071388	0.2651746216	0.4914837259	0.08359316161	0.6538332635	0.5702401019	true	0.1899514647	0.1899514647	0	false	0.2845835856	0.7748310147	0.1770114429	0.288204893	0.7397657678	0.1503070668	0.05617870095	0.9062290583	15.81060926
18	J2 P12	2	J2 (top-right)	1	2	5	8	5	8	incoming	outgoing	incoming	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.08	0.1609716816	0.1082676264	0.05868031788	0.2228586038	0.0224803858	0.4712803069	0.4487999211	true	0.08097168156	0.08097168156	0	false	0.2845835856	0.7748310147	0.1770114429	0.2715329403	0.7394210307	0.1496575747	0.02945533554	0.4684086414	14.09206447
19	J2 P13	2	J2 (top-right)	1	3	5	18	5	18	incoming	internal	incoming	internal	false	false	false	false	0	neither directly observed	1	observed after 1 turn	0.16	0.2102221968	0.1841293473	0.08855787032	0.2977173781	0.03152075304	0.4815506089	0.4500298558	true	0.05022219682	0.05022219682	0	false	0.2845835856	0.7748310147	0.1770114429	0.3172558361	0.6814292926	0.1541306353	0.03226060459	0.5130189801	15.43416611
20	J2 P14	2	J2 (top-right)	1	4	5	21	5	21	incoming	internal	incoming	internal	false	true	false	true	1	target observed	0	target observed	0.58	0.2588546569	0.2583375435	0.1814539642	0.3150091783	0.1101417626	0.4469179179	0.3367761553	false	-0.3211453431	0.3211453431	0.3951648001	true	0.2845835856	0.7748310147	0.1770114429	0.3205235704	0.6944289559	0.1561874264	0.0569597118	0.9146297031	22.35293264
