row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_road	observed_road_role	observed_road_is_source	observed_road_is_target	post_fit_normalized_rmse	swap_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized
J2 row 3	2	3	17	true	0.2897527053	7	outgoing	false	true	1.38924159	1.474680535	-0.08543894505	0.007265733469	0.02235890783	-0.01509317436	0.4243049441
J2 row 3	2	3	17	true	0.2897527053	9	incoming	false	false	1.432782793	1.432782779	1.428218943e-08	0.007858884076	0.007858884426	-3.502817897e-10	2.374902743e-07
J2 row 3	2	3	17	true	0.2897527053	14	incoming	false	false	1.307745982	1.307745982	7.506444355e-10	0.01462098435	0.0146209846	-2.459200864e-10	2.068580555e-07
J2 row 3	2	3	17	true	0.2897527053	15	outgoing	false	false	1.642083079	1.642083078	1.892649593e-09	0.00780263815	0.007802638191	-4.060145276e-11	1.129865116e-07
J2 row 3	2	3	17	true	0.2897527053	17	internal	true	false	2.070376407	2.067210843	0.003165564093	0.09355436363	0.09332881042	0.0002255532076	0.05484915911
J2 row 3	2	3	17	true	0.2897527053	21	internal	false	true	1.220621584	1.216291721	0.004329863614	0.01577777346	0.01742845136	-0.001650677892	0.09180899582
J2 row 3	2	3	17	true	0.2897527053	24	internal	false	false	1.188725865	1.188725878	-1.309539721e-08	0.01569990493	0.01569990653	-1.599143772e-09	2.553923652e-07
J2 row 4	2	4	22	false	0.1877143606	2	incoming	false	false	1.746413128	1.74641312	7.922298595e-09	0.003066917112	0.003066922294	-5.181158684e-09	3.711742034e-07
J2 row 4	2	4	22	false	0.1877143606	4	outgoing	false	false	1.104954401	1.104954379	2.185295811e-08	0.004001227309	0.004001226496	8.124822039e-10	7.364096214e-07
J2 row 4	2	4	22	false	0.1877143606	7	outgoing	false	true	1.38924159	1.386716069	0.002525521055	0.007265733469	0.01231451127	-0.005048777802	0.09446907791
J2 row 4	2	4	22	false	0.1877143606	9	incoming	false	false	1.432782793	1.432782797	-4.153779987e-09	0.007858884076	0.007858883974	1.020530535e-10	6.908570333e-08
J2 row 4	2	4	22	false	0.1877143606	14	incoming	false	false	1.307745982	1.307745983	-2.156042012e-10	0.01462098435	0.01462098428	7.165667365e-11	6.016695687e-08
J2 row 4	2	4	22	false	0.1877143606	15	outgoing	false	false	1.642083079	1.64208308	-5.384093171e-10	0.00780263815	0.007802638138	1.168046302e-11	3.277655035e-08
J2 row 4	2	4	22	false	0.1877143606	17	internal	false	false	2.070376407	2.080026756	-0.009650348939	0.09355436363	0.09428494026	-0.0007305766342	0.1083872263
J2 row 4	2	4	22	false	0.1877143606	21	internal	false	true	1.220621584	1.219487275	0.00113430891	0.01577777346	0.01679973713	-0.001021963666	0.05138007296
J2 row 4	2	4	22	false	0.1877143606	24	internal	false	false	1.188725865	1.188725861	3.837891116e-09	0.01569990493	0.01569990446	4.65761027e-10	7.425792215e-08
J3 row 1	3	1	9	true	0.284332013	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J3 row 1	3	1	9	true	0.284332013	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J3 row 1	3	1	9	true	0.284332013	7	outgoing	false	false	1.38924159	1.38924159	0	0.007265733469	0.007265733469	0	0
J3 row 1	3	1	9	true	0.284332013	9	incoming	true	false	1.432782793	1.536210659	-0.1034278659	0.007858884076	0.03162324919	-0.02376436512	0.5587740137
J3 row 1	3	1	9	true	0.284332013	14	incoming	false	false	1.307745982	1.307745982	0	0.01462098435	0.01462098435	0	0
J3 row 1	3	1	9	true	0.284332013	15	outgoing	false	false	1.642083079	1.642081256	1.823848727e-06	0.00780263815	0.007802656221	-1.807042234e-08	3.056838661e-05
J3 row 1	3	1	9	true	0.284332013	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J3 row 1	3	1	9	true	0.284332013	21	internal	false	false	1.220621584	1.220621584	0	0.01577777346	0.01577777346	0	0
J3 row 1	3	1	9	true	0.284332013	24	internal	false	false	1.188725865	1.259336411	-0.07061054608	0.01569990493	0.03431965174	-0.01861974681	0.6269785919
J3 row 2	3	2	10	false	0.3704170558	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J3 row 2	3	2	10	false	0.3704170558	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J3 row 2	3	2	10	false	0.3704170558	7	outgoing	false	false	1.38924159	1.38924159	0	0.007265733469	0.007265733469	0	0
J3 row 2	3	2	10	false	0.3704170558	9	incoming	false	false	1.432782793	1.433936302	-0.001153508885	0.007858884076	0.003156259333	0.004702624743	0.06901764554
J3 row 2	3	2	10	false	0.3704170558	14	incoming	false	false	1.307745982	1.307745982	0	0.01462098435	0.01462098435	0	0
J3 row 2	3	2	10	false	0.3704170558	15	outgoing	false	false	1.642083079	1.642084002	-9.225710973e-07	0.00780263815	0.007802630008	8.141604156e-09	1.546683249e-05
J3 row 2	3	2	10	false	0.3704170558	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J3 row 2	3	2	10	false	0.3704170558	21	internal	false	false	1.220621584	1.220621584	0	0.01577777346	0.01577777346	0	0
J3 row 2	3	2	10	false	0.3704170558	24	internal	false	false	1.188725865	1.175138444	0.01358742084	0.01569990493	0.01125664014	0.004443264789	0.118067949
J3 row 3	3	3	19	false	0.2887670253	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J3 row 3	3	3	19	false	0.2887670253	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J3 row 3	3	3	19	false	0.2887670253	7	outgoing	false	false	1.38924159	1.38924159	0	0.007265733469	0.007265733469	0	0
J3 row 3	3	3	19	false	0.2887670253	9	incoming	false	false	1.432782793	1.436624919	-0.003842125677	0.007858884076	0.001148149422	0.006710734654	0.1110524735
J3 row 3	3	3	19	false	0.2887670253	14	incoming	false	false	1.307745982	1.307745982	0	0.01462098435	0.01462098435	0	0
J3 row 3	3	3	19	false	0.2887670253	15	outgoing	false	false	1.642083079	1.642082788	2.913041459e-07	0.00780263815	0.007802640753	-2.603094444e-09	4.881181703e-06
J3 row 3	3	3	19	false	0.2887670253	17	internal	false	false	2.070376407	2.070376407	0	0.09355436363	0.09355436363	0	0
J3 row 3	3	3	19	false	0.2887670253	21	internal	false	false	1.220621584	1.220621584	0	0.01577777346	0.01577777346	0	0
J3 row 3	3	3	19	false	0.2887670253	24	internal	false	false	1.188725865	1.172766887	0.01595897719	0.01569990493	0.01065367914	0.005046225785	0.1688436966
J3 row 4	3	4	24	true	0.2160830544	2	incoming	false	false	1.746413128	1.746413128	0	0.003066917112	0.003066917112	0	0
J3 row 4	3	4	24	true	0.2160830544	4	outgoing	false	false	1.104954401	1.104954401	0	0.004001227309	0.004001227309	0	0
J3 row 4	3	4	24	true	0.2160830544	7	outgoing	false	false	1.38924159	1.38924159	0	0.007265733469	0.007265733469	0	0
J3 row 4	3	4	24	true	0.2160830544	9	incoming	false	false	1.432782793	1.438326866	-0.005544072589	0.007858884076	0.01411802095	-0.006259136877	0.09613122392
J3 row 4	3	4	24	true	0.2160830544	14	incoming	false	false	1.307745982	1.307745982	0	0.01462098435	0.01462098435	0	0
