row_label	junction	incoming_row	source_road	source_observed	row_tv_error	variant_label	variant_kind	floor_fraction	post_fit_normalized_rmse	swap_fit_normalized_rmse	truth_fit_normalized_rmse	fit_normalized_improvement	post_mean_loss	swap_mean_loss	truth_mean_loss	mean_loss_improvement	swap_improves_noisy_rmse	swap_improves_noisy_loss
J4 row 3	4	3	21	true	0.2292113581	additive_floor_0p03	additive_floor	0.03	1.441057606	1.456037127	1.675868511	-0.0149795207	1.038323512	1.060022058	1.404267633	-0.02169854526	false	false
J4 row 4	4	4	23	false	0.2365386967	additive_floor_0p03	additive_floor	0.03	1.441057606	1.440917423	1.675868511	0.000140182953	1.038323512	1.03812151	1.404267633	0.000202001885	true	true
J1 row 1	1	1	1	false	0.5552748191	additive_floor_0p10	additive_floor	0.1	1.296545909	1.281003809	1.294928027	0.01554209941	0.8405156467	0.8204853797	0.838419297	0.02003026698	true	true
J1 row 2	1	2	2	true	0.4566148836	additive_floor_0p10	additive_floor	0.1	1.296545909	1.274086848	1.294928027	0.02245906025	0.8405156467	0.8116486487	0.838419297	0.02886699799	true	true
J1 row 3	1	3	18	false	0.1866046451	additive_floor_0p10	additive_floor	0.1	1.296545909	1.329046606	1.294928027	-0.03250069735	0.8405156467	0.8831824405	0.838419297	-0.04266679384	false	false
J1 row 4	1	4	20	false	0.4677491586	additive_floor_0p10	additive_floor	0.1	1.296545909	1.282370309	1.294928027	0.01417559976	0.8405156467	0.8222368046	0.838419297	0.01827884206	true	true
J2 row 1	2	1	5	false	0.3211453431	additive_floor_0p10	additive_floor	0.1	1.296545909	1.317223564	1.294928027	-0.02067765522	0.8405156467	0.8675389587	0.838419297	-0.02702331199	false	false
J2 row 2	2	2	6	false	0.3036773312	additive_floor_0p10	additive_floor	0.1	1.296545909	1.296514576	1.294928027	3.13330757e-05	0.8405156467	0.8404750224	0.838419297	4.062428022e-05	true	true
J2 row 3	2	3	17	true	0.2897527053	additive_floor_0p10	additive_floor	0.1	1.296545909	1.305730125	1.294928027	-0.009184216384	0.8405156467	0.8524655798	0.838419297	-0.01194993309	false	false
J2 row 4	2	4	22	false	0.1877143606	additive_floor_0p10	additive_floor	0.1	1.296545909	1.297830035	1.294928027	-0.001284126708	0.8405156467	0.8421814004	0.838419297	-0.00166575372	false	false
J3 row 1	3	1	9	true	0.284332013	additive_floor_0p10	additive_floor	0.1	1.296545909	1.316592022	1.294928027	-0.02004611328	0.8405156467	0.8667072761	0.838419297	-0.02619162949	false	false
J3 row 2	3	2	10	false	0.3704170558	additive_floor_0p10	additive_floor	0.1	1.296545909	1.295331028	1.294928027	0.001214881054	0.8405156467	0.8389412356	0.838419297	0.001574411092	true	true
J3 row 3	3	3	19	false	0.2887670253	additive_floor_0p10	additive_floor	0.1	1.296545909	1.295423069	1.294928027	0.001122839534	0.8405156467	0.839060464	0.838419297	0.00145518262	true	true
J3 row 4	3	4	24	true	0.2160830544	additive_floor_0p10	additive_floor	0.1	1.296545909	1.302502439	1.294928027	-0.005956530003	0.8405156467	0.8482563014	0.838419297	-0.00774065473	false	false
J4 row 1	4	1	13	false	0.3480934246	additive_floor_0p10	additive_floor	0.1	1.296545909	1.305595452	1.294928027	-0.009049542874	0.8405156467	0.8522897416	0.838419297	-0.0117740949	false	false
J4 row 2	4	2	14	true	0.2565175974	additive_floor_0p10	additive_floor	0.1	1.296545909	1.316952549	1.294928027	-0.02040664022	0.8405156467	0.867182008	0.838419297	-0.02666636137	false	false
J4 row 3	4	3	21	true	0.2292113581	additive_floor_0p10	additive_floor	0.1	1.296545909	1.312672864	1.294928027	-0.01612695497	0.8405156467	0.8615550235	0.838419297	-0.02103937683	false	false
J4 row 4	4	4	23	false	0.2365386967	additive_floor_0p10	additive_floor	0.1	1.296545909	1.29673554	1.294928027	-0.0001896314472	0.8405156467	0.8407615305	0.838419297	-0.000245883857	false	false
