rank	variant_label	y_true	y_obs	sigma_true	sigma_model	flux_shape_obs	true_minus_obs	true_standardized_residual	true_loss_contribution	at_floor	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
55	hard_floor_0p03	0.2950477618	0.1494330991	0.06655826561	0.04067291135	0.5084113919	0.1456146627	3.580138669	6.408696445	false	1794	7	east_heavy_late	66	14	incoming	2	8	0.4166666667	1	0.004166666667	0.25
56	hard_floor_0p03	0.2198581293	0.1089269498	0.05488657032	0.0310597982	0.3882474775	0.1109311795	3.571535745	6.377933791	false	1640	6	west_heavy	200	17	internal	4	11	0.875	2	0.008333333333	0.5
57	hard_floor_0p03	0.2860314787	0.1454907384	0.06534959101	0.03978341871	0.4972927338	0.1405407403	3.532646134	6.239794356	false	3104	11	upstream_loaded	224	17	internal	4	11	0.875	8	0.03333333333	2
58	hard_floor_0p03	0.2239345232	0.1118284442	0.05561211281	0.03178330984	0.397291373	0.112106079	3.527199641	6.220568652	false	159	1	balanced_reference	159	7	outgoing	3	11	0.5833333333	8	0.03333333333	2
59	hard_floor_0p03	0.1661980166	0.0816421697	0.04434439547	0.02399255226	0.2999069033	0.08455584685	3.52425394	6.210182917	false	773	3	quiet_start_then_build	197	17	internal	1	2	0.125	2	0.008333333333	0.5
60	hard_floor_0p03	0.06343230114	0.03044004282	0.01901076618	0.009444302916	0.1180537865	0.03299225832	3.493350289	6.10174812	false	2480	9	early_spike_then_clear	176	15	outgoing	4	17	0.9166666667	4	0.01666666667	1
61	hard_floor_0p03	0.2273789645	0.1144341475	0.05621688671	0.03242847148	0.4053558934	0.112944817	3.482890554	6.065263307	false	2520	9	early_spike_then_clear	216	17	internal	4	11	0.875	6	0.025	1.5
62	hard_floor_0p03	0.1644323434	0.08146138217	0.0439661913	0.02394413612	0.2993017015	0.08297096119	3.465189171	6.003767994	false	2439	9	early_spike_then_clear	135	7	outgoing	3	11	0.5833333333	2	0.008333333333	0.5
63	hard_floor_0p03	0.1584272162	0.07852190722	0.04266497067	0.02315398954	0.2894248692	0.07990530893	3.451038483	5.954833306	false	2843	10	late_surge_sparse_start	251	21	internal	3	9	0.6071428571	7	0.02916666667	1.75
64	hard_floor_0p03	0.4533497639	0.6884242022	0.07930360175	0.06863882241	0.8579852801	-0.2350744383	-3.424802904	5.864637464	false	2840	10	late_surge_sparse_start	248	21	internal	4	13	0.8928571429	6	0.025	1.5
65	hard_floor_0p03	0.1363508706	0.06749257059	0.03768297943	0.02013994352	0.251749294	0.06885830006	3.418991716	5.844752177	false	3245	12	downstream_loaded_sparse	77	14	incoming	1	2	0.08333333333	4	0.01666666667	1
66	hard_floor_0p03	0.3110094285	0.1624763046	0.06857042045	0.04354488162	0.5443110203	0.1485331239	3.411035198	5.817580562	false	878	4	north_heavy	14	2	incoming	2	8	0.4166666667	4	0.01666666667	1
67	hard_floor_0p03	0.6669743528	0.8246352708	0.07107826097	0.0462758211	0.5784477637	-0.1576609181	-3.406982617	5.803765277	false	349	2	heavy_from_start	61	9	incoming	1	2	0.08333333333	8	0.03333333333	2
68	hard_floor_0p03	0.16503059	0.08300909627	0.0440945582	0.02435794759	0.3044743448	0.08202149373	3.367340103	5.669489684	false	1785	7	east_heavy_late	57	9	incoming	1	2	0.08333333333	7	0.02916666667	1.75
69	hard_floor_0p03	0.2747396838	0.1433101339	0.06376249278	0.03928714862	0.4910893578	0.1314295499	3.345357312	5.595707771	false	3071	11	upstream_loaded	191	15	outgoing	3	11	0.5833333333	8	0.03333333333	2
70	hard_floor_0p03	0.2205736474	0.113154545	0.05501469232	0.03211219006	0.4014023757	0.1074191025	3.345119167	5.594911121	false	356	2	heavy_from_start	68	14	incoming	4	17	0.9166666667	1	0.004166666667	0.25
71	hard_floor_0p03	0.0939215754	0.046488611	0.02723210018	0.01418477442	0.1773096802	0.0474329644	3.343935054	5.590950824	false	3227	12	downstream_loaded_sparse	59	9	incoming	3	11	0.5833333333	7	0.02916666667	1.75
72	hard_floor_0p03	0.6123122818	0.7894156425	0.07596350444	0.05319634748	0.6649543434	-0.1771033607	-3.329239114	5.54191654	false	1872	7	east_heavy_late	144	7	outgoing	4	17	0.9166666667	4	0.01666666667	1
73	hard_floor_0p03	0.1040684695	0.05187059278	0.02983623141	0.015737611	0.1967201375	0.05219787673	3.316759877	5.50044804	false	1355	5	south_heavy	203	17	internal	3	8	0.625	3	0.0125	0.75
74	hard_floor_0p03	0.204675392	0.1049732689	0.05209068029	0.03006524214	0.3758155267	0.09970212315	3.316192256	5.498565539	false	3019	11	upstream_loaded	139	7	outgoing	3	11	0.5833333333	3	0.0125	0.75
75	hard_floor_0p03	0.2547316532	0.1331921395	0.06074990017	0.03694463791	0.4618079739	0.1215395137	3.289774119	5.411306877	false	1997	7	east_heavy_late	269	24	internal	1	2	0.125	4	0.01666666667	1
76	hard_floor_0p03	0.1796704389	0.09195157155	0.04716447113	0.02671887361	0.3339859202	0.08771886736	3.283030139	5.389143448	false	3144	11	upstream_loaded	264	24	internal	4	11	0.875	2	0.008333333333	0.5
77	hard_floor_0p03	0.2144988722	0.1109400031	0.05391651393	0.03156234201	0.3945292752	0.1035588691	3.281089504	5.382774166	false	2272	8	alternating_inlets	256	21	internal	4	13	0.8928571429	8	0.03333333333	2
78	hard_floor_0p03	0.3331543528	0.1797657674	0.0710920096	0.04718401161	0.5898001451	0.1533885854	3.250859352	5.284043265	false	192	1	balanced_reference	192	15	outgoing	4	17	0.9166666667	8	0.03333333333	2
79	hard_floor_0p03	0.261034258	0.1377374407	0.06172651972	0.0380050682	0.4750633525	0.1232968173	3.244220392	5.262482976	false	1414	5	south_heavy	262	24	internal	2	5	0.375	2	0.008333333333	0.5
80	hard_floor_0p03	0.09833451703	0.04951217535	0.02837274873	0.01505943035	0.1882428794	0.04882234168	3.241977986	5.255210632	false	2669	10	late_surge_sparse_start	77	14	incoming	1	2	0.08333333333	4	0.01666666667	1
81	hard_floor_0p03	0.1833960262	0.09459042038	0.0479238156	0.02740578328	0.342572291	0.08880560577	3.240396556	5.250084921	false	669	3	quiet_start_then_build	93	14	incoming	1	2	0.08333333333	8	0.03333333333	2
82	hard_floor_0p03	0.248913198	0.1310679906	0.05982573371	0.03644453518	0.4555566898	0.1178452074	3.233549469	5.227921083	false	1809	7	east_heavy_late	81	14	incoming	1	2	0.08333333333	5	0.02083333333	1.25
83	hard_floor_0p03	0.3383837867	0.1834209796	0.07164166387	0.04792887163	0.5991108954	0.1549628071	3.233182878	5.226735761	false	2095	8	alternating_inlets	79	14	incoming	3	11	0.5833333333	4	0.01666666667	1
84	hard_floor_0p03	0.6744273925	0.8235889293	0.07026402711	0.04649286555	0.5811608194	-0.1491615367	-3.208267225	5.146489293	false	2341	9	early_spike_then_clear	37	9	incoming	1	2	0.08333333333	2	0.008333333333	0.5
85	hard_floor_0p03	0.3142464388	0.1696347354	0.06895859664	0.04507481343	0.5634351679	0.1446117033	3.208259609	5.146464861	false	1653	6	west_heavy	213	17	internal	1	2	0.125	6	0.025	1.5
86	hard_floor_0p03	0.3597983732	0.1973904999	0.07370992123	0.05069679694	0.6337099618	0.1624078733	3.203513498	5.131249367	false	3054	11	upstream_loaded	174	15	outgoing	2	8	0.4166666667	4	0.01666666667	1
87	hard_floor_0p03	0.2535584253	0.1350740355	0.06056529608	0.03738529294	0.4673161617	0.1184843898	3.16927809	5.022161806	false	3235	12	downstream_loaded_sparse	67	14	incoming	3	11	0.5833333333	1	0.004166666667	0.25
88	hard_floor_0p03	0.1043021714	0.05323521595	0.02989543311	0.01612839287	0.2016049109	0.05106695549	3.166276757	5.012654251	false	702	3	quiet_start_then_build	126	4	outgoing	2	8	0.4166666667	8	0.03333333333	2
89	hard_floor_0p03	0.1026281405	0.05267685805	0.02947059368	0.01596864214	0.1996080267	0.04995128241	3.128085781	4.892460326	false	1773	7	east_heavy_late	45	9	incoming	1	2	0.08333333333	4	0.01666666667	1
90	hard_floor_0p03	0.659365685	0.8110133675	0.0718728251	0.04904661928	0.613082741	-0.1516476824	-3.091908977	4.77995056	false	2317	9	early_spike_then_clear	13	2	incoming	1	2	0.08333333333	4	0.01666666667	1
91	hard_floor_0p03	0.1303791428	0.06802725472	0.03628173501	0.02028785515	0.2535981893	0.06235188804	3.073360273	4.722771685	false	2635	10	late_surge_sparse_start	43	9	incoming	3	11	0.5833333333	3	0.0125	0.75
92	hard_floor_0p03	0.3814939533	0.2156627742	0.0755060214	0.05412874944	0.676609368	0.1658311791	3.063643273	4.692955051	false	2489	9	early_spike_then_clear	185	15	outgoing	1	2	0.08333333333	7	0.02916666667	1.75
93	hard_floor_0p03	0.2411116276	0.130186287	0.05855257941	0.03623610165	0.4529512706	0.1109253407	3.061183063	4.685420874	false	2739	10	late_surge_sparse_start	147	7	outgoing	3	11	0.5833333333	5	0.02083333333	1.25
94	hard_floor_0p03	0.2561772342	0.1389739948	0.06097614684	0.03829127154	0.4786408943	0.1172032394	3.060834354	4.684353472	false	3160	11	upstream_loaded	280	24	internal	4	11	0.875	6	0.025	1.5
95	hard_floor_0p03	0.1767931591	0.09388527718	0.04657194816	0.02722266621	0.3402833276	0.08290788191	3.04554599	4.637675188	false	3337	12	downstream_loaded_sparse	169	15	outgoing	1	2	0.08333333333	3	0.0125	0.75
96	hard_floor_0p03	0.2614709792	0.1429110591	0.06179324999	0.03919599626	0.4899499532	0.1185599201	3.024796699	4.574697534	false	2592	9	early_spike_then_clear	288	24	internal	4	11	0.875	8	0.03333333333	2
97	hard_floor_0p03	0.2713526925	0.1490578027	0.06327053081	0.04058866373	0.5073582966	0.1222948898	3.013030699	4.539176997	false	215	1	balanced_reference	215	17	internal	3	8	0.625	6	0.025	1.5
98	hard_floor_0p03	0.2990508692	0.1661467047	0.06707822298	0.04433343271	0.5541679089	0.1329041645	2.997831576	4.49349708	false	1102	4	north_heavy	238	21	internal	2	6	0.3928571429	4	0.01666666667	1
99	hard_floor_0p03	0.240750337	0.1313586898	0.05849267592	0.03651314701	0.4564143376	0.1093916472	2.995952312	4.487865128	false	1893	7	east_heavy_late	165	15	outgoing	1	2	0.08333333333	2	0.008333333333	0.5
100	hard_floor_0p03	0.457819799	0.6689440906	0.07943066581	0.07086652616	0.885831577	-0.2111242916	-2.979182176	4.437763219	false	3146	11	upstream_loaded	266	24	internal	2	5	0.375	3	0.0125	0.75
