road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
709,3,36,0.06944444444,0.8401979476,0.8401979476,0
709,4,36,0.09722222222,0.8439278906,0.8439278906,0
709,5,36,0.125,0.8452905314,0.8452905314,0
709,6,36,0.1527777778,0.8443832186,0.8443832186,0
709,7,36,0.1805555556,0.8413549985,0.8413549985,0
709,8,36,0.2083333333,0.8363917929,0.8363917929,0
709,9,36,0.2361111111,0.8297047676,0.8297047676,0
709,10,36,0.2638888889,0.8215217119,0.8215217119,0
709,11,36,0.2916666667,0.8120810113,0.8120810113,0
709,12,36,0.3194444444,0.8016277223,0.8016277223,0
709,13,36,0.3472222222,0.7904112765,0.7904112765,0
709,14,36,0.375,0.7786843972,0.7786843972,0
709,15,36,0.4027777778,0.7667028723,0.7667028723,0
709,16,36,0.4305555556,0.7547258737,0.7547258737,0
709,17,36,0.4583333333,0.7430165412,0.7430165412,0
709,18,36,0.4861111111,0.7318425352,0.7318425352,0
709,19,36,0.5138888889,0.7214762266,0.7214762266,0
709,20,36,0.5416666667,0.712194095,0.712194095,0
709,21,36,0.5694444444,0.7042747802,0.7042747802,0
709,22,36,0.5972222222,0.6979950499,0.6979950499,0
709,23,36,0.625,0.6936227639,0.6936227639,0
709,24,36,0.6527777778,0.6914057727,0.6914057727,0
709,25,36,0.6805555556,0.6915556527,0.6915556527,0
709,26,36,0.7083333333,0.6942249404,0.6942249404,0
709,27,36,0.7361111111,0.6994739427,0.6994739427,0
709,28,36,0.7638888889,0.7072104728,0.7072104728,0
709,29,36,0.7916666667,0.7170483729,0.7170483729,0
709,30,36,0.8194444444,0.727978397,0.727978397,0
709,31,36,0.8472222222,0.7378071979,0.7378071979,0
709,32,36,0.875,0.7427073856,0.7427073856,0
709,33,36,0.9027777778,0.7376424844,0.7376424844,0
709,34,36,0.9305555556,0.7178579951,0.7178579951,0
709,35,36,0.9583333333,0.6801576752,0.6801576752,0
709,36,36,0.9861111111,0.6217862653,0.6217862653,0
710,1,28,0.01785714286,0.06560361649,0.06560361649,0
710,2,28,0.05357142857,0.07119451869,0.07119451869,0
710,3,28,0.08928571429,0.1006465791,0.1006465791,0
710,4,28,0.125,0.220748263,0.220748263,0
710,5,28,0.1607142857,0.4347189719,0.4347189719,0
710,6,28,0.1964285714,0.5088979014,0.5088979014,0
710,7,28,0.2321428571,0.5077420345,0.5077420345,0
710,8,28,0.2678571429,0.5043789262,0.5043789262,0
710,9,28,0.3035714286,0.5001179394,0.5001179394,0
710,10,28,0.3392857143,0.4952424538,0.4952424538,0
710,11,28,0.375,0.4902503664,0.4902503664,0
710,12,28,0.4107142857,0.4851697201,0.4851697201,0
710,13,28,0.4464285714,0.4801942362,0.4801942362,0
710,14,28,0.4821428571,0.4755129617,0.4755129617,0
710,15,28,0.5178571429,0.4713093076,0.4713093076,0
710,16,28,0.5535714286,0.4677593605,0.4677593605,0
710,17,28,0.5892857143,0.4650288814,0.4650288814,0
710,18,28,0.625,0.4632684056,0.4632684056,0
710,19,28,0.6607142857,0.4626058753,0.4626058753,0
710,20,28,0.6964285714,0.4631363626,0.4631363626,0
710,21,28,0.7321428571,0.4649088216,0.4649088216,0
710,22,28,0.7678571429,0.4679106006,0.4679106006,0
710,23,28,0.8035714286,0.472051765,0.472051765,0
710,24,28,0.8392857143,0.4771530321,0.4771530321,0
710,25,28,0.875,0.4865740112,0.4865740112,0
710,26,28,0.9107142857,0.5717269845,0.5717269845,0
710,27,28,0.9464285714,0.6908447497,0.6908447497,0
710,28,28,0.9821428571,0.7338008222,0.7338008222,0
711,1,34,0.01470588235,0.3438078069,0.3438078069,0
711,2,34,0.04411764706,0.3430764144,0.3430764144,0
711,3,34,0.07352941176,0.3309471115,0.3309471115,0
711,4,34,0.1029411765,0.3211866868,0.3211866868,0
711,5,34,0.1323529412,0.3154918179,0.3154918179,0
711,6,34,0.1617647059,0.3115740933,0.3115740933,0
711,7,34,0.1911764706,0.3075203265,0.3075203265,0
