entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
73	24	RB08	roundabout	475	1	1063	1052	3	3	0.2559292859	0.2909909455	0.2789583736	0.04491820379	0.1360183491	0.4188918688	0.5870131929	0.03506165959	0.5420949891	true
74	24	RB08	roundabout	475	1	1063	1056	4	4	0.339682669	0.2204687627	0.1884078225	0.08007700958	0.1363282739	0.2761254686	0.4453454878	0.1192139063	0.3652684782	true
75	25	RB10	roundabout	477	1	1012	1006	1	1	0.2756346244	0.3804822237	0.3239479936	0.07659016029	0.1983566841	0.5431765076	0.8002278381	0.1048475993	0.7236376779	true
76	25	RB10	roundabout	477	1	1012	1007	2	2	0.3325639456	0.2575784656	0.2180461722	0.04342563161	0.1260504384	0.3746438195	0.5346707704	0.07498548005	0.4912451388	true
77	25	RB10	roundabout	477	1	1012	1016	3	3	0.39180143	0.3619393107	0.3316662136	0.1103590705	0.1985686524	0.5153109236	0.6455628302	0.02986211926	0.5352037598	true
78	26	RB10	roundabout	477	2	1047	1006	1	1	0.3064235083	0.4656577853	0.4575605255	0.1636739122	0.2690516658	0.6153562356	0.8461866806	0.159234277	0.6825127684	true
79	26	RB10	roundabout	477	2	1047	1007	2	2	0.3748266199	0.2060759067	0.1989248887	0.04448291894	0.09694748269	0.2673360065	0.4059373148	0.1687507131	0.3614543958	true
80	26	RB10	roundabout	477	2	1047	1016	3	3	0.3187498719	0.328266308	0.3170270153	0.08628923154	0.1454747587	0.4605751304	0.6642121386	0.009516436148	0.577922907	true
81	27	RB14	roundabout	481	1	1052	993	1	1	0.1370668986	0.08632479554	0.08179648927	0.03166245059	0.05491496039	0.09515236469	0.1611479047	0.05074210308	0.1294854541	true
82	27	RB14	roundabout	481	1	1052	994	2	2	0.1627160998	0.2300852679	0.1458772058	0.02116065147	0.08394195729	0.3141118433	0.6037575821	0.0673691681	0.5825969306	true
83	27	RB14	roundabout	481	1	1052	995	3	3	0.1859955473	0.1140110592	0.07171520199	0.007532259931	0.03295504108	0.1664606808	0.3029865777	0.07198448808	0.2954543177	true
84	27	RB14	roundabout	481	1	1052	996	4	4	0.2024412104	0.2177016473	0.1525167179	0.03073441891	0.08803220908	0.3291196003	0.5617840059	0.01526043696	0.531049587	true
85	27	RB14	roundabout	481	1	1052	998	5	5	0.2083275524	0.2313930917	0.1686636157	0.02021420287	0.07169770642	0.3325643527	0.6707646256	0.02306553932	0.6505504227	true
86	27	RB14	roundabout	481	1	1052	1000	6	6	0.1034526915	0.1204841383	0.1040799169	0.02777034381	0.07071010166	0.1802665637	0.2426686738	0.01703144679	0.21489833	true
87	28	RB18	roundabout	485	1	783	781	1	1	0.3714557218	0.320599909	0.2730917865	0.08818944279	0.1583020434	0.3995778556	0.7777026126	0.05085581288	0.6895131698	true
88	28	RB18	roundabout	485	1	783	784	2	2	0.4123240887	0.3885284662	0.3888867871	0.07631810769	0.1972222593	0.5327075312	0.6934289125	0.02379562249	0.6171108048	true
89	28	RB18	roundabout	485	1	783	794	3	3	0.2162201895	0.2908716249	0.2765919902	0.07359836432	0.2187512453	0.3699091532	0.5421922669	0.07465143538	0.4685939026	true
90	29	RB18	roundabout	485	2	798	781	1	1	0.396902516	0.2541036502	0.2126742739	0.0336374491	0.1140262905	0.3541593987	0.6143159467	0.1427988658	0.5806784976	true
91	29	RB18	roundabout	485	2	798	784	2	2	0.4027341383	0.4668905933	0.4394131816	0.1564018338	0.2867827362	0.6299541106	0.8525553883	0.06415645494	0.6961535545	true
