sample	weight	entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	sample_turning_fraction
2	0.015625	20	7	J245	junction	219	1	801	806	2	2	0.1525558405	0.06316121941
2	0.015625	21	7	J245	junction	219	1	801	809	3	3	0.4862171168	0.3916142638
2	0.015625	22	8	J245	junction	219	2	807	800	1	1	0.1002509384	0.3218069116
2	0.015625	23	8	J245	junction	219	2	807	806	2	2	0.7256465793	0.07238861309
2	0.015625	24	8	J245	junction	219	2	807	809	3	3	0.1741024823	0.6058044754
2	0.015625	25	9	J245	junction	219	3	808	800	1	1	0.2870969281	0.05770525433
2	0.015625	26	9	J245	junction	219	3	808	806	2	2	0.1421794519	0.7556166514
2	0.015625	27	9	J245	junction	219	3	808	809	3	3	0.57072362	0.1866780943
2	0.015625	28	10	J411	junction	258	1	565	570	1	1	0.3260774451	0.2035667249
2	0.015625	29	10	J411	junction	258	1	565	574	2	2	0.3542853025	0.3908279889
2	0.015625	30	10	J411	junction	258	1	565	575	3	3	0.3196372524	0.4056052862
2	0.015625	31	11	J411	junction	258	2	566	570	1	1	0.3326651788	0.06175474989
2	0.015625	32	11	J411	junction	258	2	566	574	2	2	0.3894213042	0.1275361208
2	0.015625	33	11	J411	junction	258	2	566	575	3	3	0.277913517	0.8107091293
2	0.015625	34	12	J411	junction	258	3	576	570	1	1	0.08057718231	0.1722292464
2	0.015625	35	12	J411	junction	258	3	576	574	2	2	0.09821284373	0.5624352882
2	0.015625	36	12	J411	junction	258	3	576	575	3	3	0.821209974	0.2653354653
2	0.015625	37	13	J416	junction	261	1	507	520	1	1	0.08585171273	0.6502169002
2	0.015625	38	13	J416	junction	261	1	507	533	2	2	0.8350226374	0.227093532
2	0.015625	39	13	J416	junction	261	1	507	535	3	3	0.0791256499	0.1226895678
2	0.015625	40	14	J416	junction	261	2	519	520	1	1	0.4424993428	0.1804997956
2	0.015625	41	14	J416	junction	261	2	519	533	2	2	0.2571829325	0.6130238217
2	0.015625	42	14	J416	junction	261	2	519	535	3	3	0.3003177247	0.2064763828
2	0.015625	43	15	J416	junction	261	3	543	520	1	1	0.4804376639	0.0675119374
2	0.015625	44	15	J416	junction	261	3	543	533	2	2	0.2584001043	0.3621421445
2	0.015625	45	15	J416	junction	261	3	543	535	3	3	0.2611622318	0.5703459181
2	0.015625	46	16	J635	junction	308	1	54	103	1	1	0.5033156413	0.5794914893
2	0.015625	47	16	J635	junction	308	1	54	104	2	2	0.2465759607	0.2768123015
2	0.015625	48	16	J635	junction	308	1	54	105	3	3	0.250108398	0.1436962092
2	0.015625	49	17	J635	junction	308	2	72	103	1	1	0.5058520174	0.6830702949
2	0.015625	50	17	J635	junction	308	2	72	104	2	2	0.2267304274	0.0475704626
2	0.015625	51	17	J635	junction	308	2	72	105	3	3	0.2674175552	0.2693592425
2	0.015625	52	18	J635	junction	308	3	110	103	1	1	0.119554461	0.04144996209
2	0.015625	53	18	J635	junction	308	3	110	104	2	2	0.8032404603	0.5042535917
2	0.015625	54	18	J635	junction	308	3	110	105	3	3	0.07720507866	0.4542964462
2	0.015625	55	19	J644	junction	339	1	224	52	1	1	0.2980140145	0.1092854342
2	0.015625	56	19	J644	junction	339	1	224	232	2	2	0.2435232537	0.3971211142
2	0.015625	57	19	J644	junction	339	1	224	235	3	3	0.1999885846	0.2851062475
2	0.015625	58	19	J644	junction	339	1	224	236	4	4	0.2584741473	0.208487204
2	0.015625	59	20	J644	junction	339	2	225	52	1	1	0.2671144812	0.02538217691
2	0.015625	60	20	J644	junction	339	2	225	232	2	2	0.2218877051	0.6117165105
2	0.015625	61	20	J644	junction	339	2	225	235	3	3	0.1900868157	0.08982576025
2	0.015625	62	20	J644	junction	339	2	225	236	4	4	0.320910998	0.2730755523
2	0.015625	63	21	J644	junction	339	3	227	52	1	1	0.2330589682	0.4360212029
2	0.015625	64	21	J644	junction	339	3	227	232	2	2	0.2048826143	0.08512660737
2	0.015625	65	21	J644	junction	339	3	227	235	3	3	0.1893420201	0.3071047383
2	0.015625	66	21	J644	junction	339	3	227	236	4	4	0.3727163975	0.1717474515
2	0.015625	67	22	J246	junction	386	1	790	791	1	1	0.6753648945	0.7767528681
2	0.015625	68	22	J246	junction	386	1	790	795	2	2	0.3246351055	0.2232471319
2	0.015625	69	23	J641	junction	457	1	98	81	1	1	0.3326582023	0.3097776785
2	0.015625	70	23	J641	junction	457	1	98	87	2	2	0.6673417977	0.6902223215
2	0.015625	71	24	RB08	roundabout	475	1	1063	1047	1	1	0.1887377939	0.1106626869
2	0.015625	72	24	RB08	roundabout	475	1	1063	1049	2	2	0.2156502512	0.6755031898
2	0.015625	73	24	RB08	roundabout	475	1	1063	1052	3	3	0.2559292859	0.0487633109
2	0.015625	74	24	RB08	roundabout	475	1	1063	1056	4	4	0.339682669	0.1650708124
2	0.015625	75	25	RB10	roundabout	477	1	1012	1006	1	1	0.2756346244	0.8431524799
2	0.015625	76	25	RB10	roundabout	477	1	1012	1007	2	2	0.3325639456	0.003749462791
2	0.015625	77	25	RB10	roundabout	477	1	1012	1016	3	3	0.39180143	0.1530980573
2	0.015625	78	26	RB10	roundabout	477	2	1047	1006	1	1	0.3064235083	0.5955983609
2	0.015625	79	26	RB10	roundabout	477	2	1047	1007	2	2	0.3748266199	0.04448291894
2	0.015625	80	26	RB10	roundabout	477	2	1047	1016	3	3	0.3187498719	0.3599187201
2	0.015625	81	27	RB14	roundabout	481	1	1052	993	1	1	0.1370668986	0.06752867051
2	0.015625	82	27	RB14	roundabout	481	1	1052	994	2	2	0.1627160998	0.6037575821
2	0.015625	83	27	RB14	roundabout	481	1	1052	995	3	3	0.1859955473	0.1149101747
2	0.015625	84	27	RB14	roundabout	481	1	1052	996	4	4	0.2024412104	0.02875275265
2	0.015625	85	27	RB14	roundabout	481	1	1052	998	5	5	0.2083275524	0.0908526283
2	0.015625	86	27	RB14	roundabout	481	1	1052	1000	6	6	0.1034526915	0.09419819174
2	0.015625	87	28	RB18	roundabout	485	1	783	781	1	1	0.3714557218	0.1321107487
2	0.015625	88	28	RB18	roundabout	485	1	783	784	2	2	0.4123240887	0.4979800981
2	0.015625	89	28	RB18	roundabout	485	1	783	794	3	3	0.2162201895	0.3699091532
2	0.015625	90	29	RB18	roundabout	485	2	798	781	1	1	0.396902516	0.4563734986
2	0.015625	91	29	RB18	roundabout	485	2	798	784	2	2	0.4027341383	0.3681616384
2	0.015625	92	29	RB18	roundabout	485	2	798	794	3	3	0.2003633456	0.175464863
2	0.015625	93	30	RB19	roundabout	486	1	777	797	1	1	0.6632352944	0.6794921778
2	0.015625	94	30	RB19	roundabout	486	1	777	798	2	2	0.3367647056	0.3205078222
2	0.015625	95	31	RB19	roundabout	486	2	799	797	1	1	0.6283055034	0.7653943123
2	0.015625	96	31	RB19	roundabout	486	2	799	798	2	2	0.3716944966	0.2346056877
2	0.015625	97	32	RB20	roundabout	487	1	768	771	1	1	0.2618012881	0.4116748291
2	0.015625	98	32	RB20	roundabout	487	1	768	772	2	2	0.21502642	0.294480619
2	0.015625	99	32	RB20	roundabout	487	1	768	775	3	3	0.1757039465	0.07467730869
2	0.015625	100	32	RB20	roundabout	487	1	768	776	4	4	0.1452665893	0.05429059767
